username,retweet_count,reply_count,like_count,quote_count,url,text,created_at,id,conversation_id
KingsNSnews,0,0,0,0,https://www.saltwire.com/atlantic-canada/weather/weather-photo-dissipating-storm-clouds-in-whiteway-nl-100752564/?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1657703841,"WEATHER PHOTO: Dissipating storm clouds in Whiteway, N.L. | SaltWire https://t.co/hNGOJh3wUZ",2022-07-13T09:19:49.000Z,1547148786484510725,1547148786484510725
Casket_News,12,1,11,2,https://www.saltwire.com/news/local/more-nova-scotia-connections-to-jetliner-crash-in-iran-emerging-396178/?utm_medium=social&utm_source=twitter_Casket_News,"As hearts are breaking here on the East Coasts for those who died in yesterday's plane crash in Iran, Prime Minister Trudeau said this afternoon ""evidence indicates that the plane was shot down by an Iranian surface-to-air missile..."" https://t.co/DlnKGBorKC https://t.co/RYtDsUesGk",2020-01-09T21:46:24.000Z,1215389385136529409,1215389385136529409
Casket_News,0,0,0,0,https://www.saltwire.com/news/local/more-nova-scotia-connections-to-jetliner-crash-in-iran-emerging-396178/?utm_medium=social&utm_source=twitter_Casket_News,"As hearts are breaking here on the East Coasts for those who died in yesterday's plane crash in Iran, Prime Minister Trudeau said this afternoon ""evidence indicates that the plane was shot down by an Iranian surface-to-air missile..."" https://t.co/DlnKGBorKC https://t.co/zDIylFQZvE",2020-01-09T21:46:16.000Z,1215389348977434626,1215389348977434626
Casket_News,0,0,0,0,https://buff.ly/35JFoDc,"Dillan Tate and Calen Kinney enjoying life as Stanfields
https://t.co/uK2koEWGo9 https://t.co/LNeuQPY5wn",2019-10-23T15:45:02.000Z,1187032188027572224,1187032188027572224
Casket_News,0,0,0,0,https://buff.ly/32vaiNO,"VIDEO: Budhoo scores twice in Cape Breton Capers win over X-Men Friday
https://t.co/uYhScN0P5k https://t.co/EDm1SS7HiR",2019-10-23T13:05:01.000Z,1186991920138113025,1186991920138113025
Casket_News,0,0,0,0,https://buff.ly/2Mxlunp,"VIDEO: X-Women score two goals in second half to beat Capers in Sydney
https://t.co/eueXagw1U3 https://t.co/UXQUK34haA",2019-10-22T21:45:04.000Z,1186760405177249792,1186760405177249792
Casket_News,0,0,0,0,https://buff.ly/2MVtiOM,"Hospital Help Day to hit the airwaves Oct. 30
https://t.co/MNNpQPpIRr https://t.co/sU8HhwYQaB",2019-10-22T18:05:01.000Z,1186705027982938113,1186705027982938113
Casket_News,3,0,10,0,https://buff.ly/2qxsM23,"Linda MacDonald receives inaugural Xaverian Spirit Award
https://t.co/mKLqosQfDl https://t.co/R53wMLjYfR",2019-10-22T15:45:02.000Z,1186669802015866882,1186669802015866882
Casket_News,0,0,4,0,https://buff.ly/2MxKhYp,"Antigonish County council honours MacLellan for commitment to agriculture
https://t.co/VU6ct3koey https://t.co/XraawNc1CQ",2019-10-22T13:05:03.000Z,1186629540967309312,1186629540967309312
Casket_News,11,0,0,0,https://www.saltwire.com/federal-election/liberals-maintain-bulk-of-atlantic-canadian-seats-conservatives-win-back-strongholds-366407/,"RT @SaltWireNetwork: Liberals maintain bulk of Atlantic Canadian seats, Conservatives win back strongholds  https://t.co/pUIq7tGMS3 #Inform…",2019-10-22T03:35:39.000Z,1186486244324368384,1186486244324368384
Casket_News,11,0,6,0,https://www.saltwire.com/federal-election/live-liberals-holding-most-east-coast-seats-riding-by-riding-election-results-here-366353/?utm_medium=social&utm_source=twitter_Casket_News,It's looking like the Liberals will have the most seats in the next Parliament. Check the most recent results here:  https://t.co/NldiN2Ps6u #InformTheVote #elxn43 #cdnpoli,2019-10-22T02:43:43.000Z,1186473178345988096,1186473178345988096
SSBreaker,0,0,0,0,https://www.saltwire.com/lifestyles/local-lifestyles/joel-plaskett-to-release-conceptual-project-44-in-april-423852/,"Joel Plaskett to release conceptual project, 44, in April https://t.co/5w2EBym1Qh",2020-03-14T21:42:06.000Z,1238943513536012290,1238943513536012290
